url,title,Location,Description,Company
https://climatebase.org/job/46547423/technischer-anlagenfhrer--maschinen--und-anlagentechniker-mwd?source=jobs_directory,Technischer Anlagenführer / Maschinen- und Anlagentechniker (m/w/d),Grevesmühlen,,Novocarbo GmbH
https://climatebase.org/job/46522328/applications-engineer-mechanical-or-chemical-engineering?source=jobs_directory,Applications Engineer (Mechanical or Chemical Engineering),Remote,"A passion for contributing to sustainable energy transition An education base in Mechanical or Chemical Engineering or equivalent Engineering work experience +3 yrs work experience in a related roleBasic proficiency in coding (Python, Visual Basic)Ability to operate autonomously and self-direct toward the highest priorityExcellent communication and teamwork abilitiesInnovative and results-oriented thinkingAbility to connect and build trust with a wide variety of customers or potential customersThe ability to travel occasionally as needed within the United States for customer or investor meetings ","Rondo Energy, Inc"
https://climatebase.org/job/46611876/manufacturing-technician?source=jobs_directory,Manufacturing Technician,"Alameda, CA",,"Rondo Energy, Inc"
https://climatebase.org/job/46612276/commissioning-manager?source=jobs_directory,Commissioning Manager,"Moses Lake, Washington","You have technical training in engineering technology with minimum 10+ years of experience in commissioning and/or operations of plants and facilities.You have a mechanical or chemical background and hydrocarbon skills/knowledge.You are knowledgeable in:Instrumentation and associated control systemsElectrical systems for power distribution and control (low and high voltage)Mechanical systems including installation and operation of rotating equipment from small pumps to large compression units; in-depth knowledge of commissioning and safety work processesYou have excellent leadership, communication and planning skills.You are able to travel up to 50% of the time (domestically).",Twelve
https://climatebase.org/job/46612011/principle-product-manager---billing-12-months-ftc?source=jobs_directory,Principle Product Manager - Billing (12 months FTC),"London, England, United Kingdom","10+ years of experience as a subject matter expert within energy retail and operations, working for an energy retailer, regulator, energy consultancy or energy software provider Strong understanding of the UK Licences and Regulatory codes Experience of working with product teams in an agile environment A passion for building great products to solve retailer pain pointsAn ability to tailor your communication style to the audience and simplify the complex in explanationsA problem-solving mindset and collaborative approach",Kaluza
https://climatebase.org/job/46437111/patent-attorney?source=jobs_directory,Patent Attorney,"Alameda, CA","5+ years of experience practicing patent law, with a strong preference for experience in the energy sectorJuris Doctorate with admission to practice law in Washington State or California BS/Bachelor’s, MS/Master’s or Ph.D. in Mechanical Engineering or Physics An understanding of relevant technologies: mechanical and electromechanical systems, thermal energy storage, renewable energy technologies Experience in drafting and prosecuting patent applications in a fast-paced environment, developing patent strategies and conducting associated patent analyses, due diligence, transactions and licensing Highly knowledgeable on technical, scientific and legal aspects of intellectual property Outstanding communication skills with the ability to simplify complex information Analytical thinking with strong conceptual and research skills Natural leader who displays sound judgment and attention to detail Ability to work under pressure and meet deadlines Ability to work independently and as part of a team Ability to disseminate complex information to stakeholders as needed ","Rondo Energy, Inc"
https://climatebase.org/job/46566512/produktionsmitarbeiter---anlagenbetreiber-mwd?source=jobs_directory,Produktionsmitarbeiter - Anlagenbetreiber (m/w/d),Grevesmühlen,,Novocarbo GmbH
https://climatebase.org/job/46453127/staff-quality-engineer?source=jobs_directory,Staff Quality Engineer,"Somerville, MA","5 to 10 years experience of quality systems experience in a manufacturing environmentExperienced in QS-9000, ISO/TS 16949, APQP, PPAP, SPC, DFMEA, PFMEAStrong aptitude with electronic test and measurements systemsBasic understanding of reliability fundamentals, including validation tracks as well as tools, modeling, to calculate metrics such as, Mean Time to Failure (MTTF), estimated warranty costs, etc.Proficiency in reading and interpreting mechanical drawings and wiring diagramsStructured problem-solving (8D) and analytical skills, including strong technical skills in statistical tools, Design of Experiments (DOE), Process Capability (Cpk, Ppk), etc.Enjoys working in a dynamic, fast-paced environmentDetail-oriented with strong record-keeping and organizational skillsAbility to use technological tools and business system applications to manage, synthesize, and interpret dataAbility to operate relevant personal computing hardware and standard softwareBachelor’s degree in ME or EE or similar fields requiredKnowledge of Lean Manufacturing practices, 5S, TPS, TQM, etc., highly desired",Form Energy
https://climatebase.org/job/46613873/sr-process-development-engineer?source=jobs_directory,Sr. Process Development Engineer,"Fremont, CA","BS+ degree in chemical engineering or related field10+ years of experience in process/project engineering roles in an applicable chemical industryExtensive relevant engineering experience in process scale up and commercialization of new chemical technologies Perficient in process hazard analyses (PHA, HAZOP, LOPA) Experience with CAD, chemical & process modeling, and advanced computation software Experience with biogas and/or CO2 utilization processes is preferred  Team player:  Be able to share knowledge, leading the team, and support other groups Strong interpersonal, organizational, and communication skills",ReCarbon
https://climatebase.org/job/46612281/plant-operator-ii?source=jobs_directory,Plant Operator II,"Moses Lake, Washington","You have a high school diploma or GED (Graduate Equivalency Degree).You have 4+ years of relevant work experience:Troubleshooting process equipment in a manufacturing or chemical plant settingOperating a control board via HMIPreparing for equipment maintenance - LOTOYou have basic computer skills.You have excellent communication skills and the ability to work as part of a team.You have strong troubleshooting and problem-solving skills.You are forklift certified (or able to become certified).You are willing to travel up to 30% for training, commissioning, and startup assistance.You are willing to take part in Twelve’s emergency response team, including fire and rescue. ",Twelve
https://climatebase.org/job/46613874/sr-mechanical-design-engineer?source=jobs_directory,Sr. Mechanical Design Engineer,"Fremont, CA","BS+ degree in mechanical engineering  10+ years of experience in mechanical/manufacturing engineering roles in an applicable industry Proficient in SOLIDWORKS Experience with large metal structures, pipe engineering, CNC machining, welding, and casting Experience developing technology from R&D to production and/or NPI Manufacturing Extensive relevant engineering experience in process scale up and commercialization of new chemical technologies Team player:  Be able to share knowledge, leading the team, and support other groups Strong interpersonal, organizational, and communication skillsExperience developing reliability testing is a plusExperience with application of Lean manufacturing and Six Sigma methodologies is a plusProficient in process hazard analyses (PHA, HAZOP, LOPAZ) a plusExperience with biogas and/or CO2 utilization processes a plus",ReCarbon
https://climatebase.org/job/46614252/associate-manager-of-facilities-and-maintenance?source=jobs_directory,Associate Manager of Facilities and Maintenance,"Pittsburgh, PA","Proven experience in facilities and equipment maintenance, with a track record of managing maintenance operations and leading a team.Strong technical knowledge and understanding of various mechanical, electrical, control and HVAC systems commonly found in commercial manufacturing facilities.Excellent problem-solving and decision-making skills, with the ability to analyze complex maintenance issues and develop effective solutions.Strong interpersonal and communication skills, with the ability to collaborate effectively with internal stakeholders, external vendors, and contractors.Proficiency in computerized maintenance management systems (CMMS) and other relevant software applications for tracking and reporting maintenance activities.",Form Energy
https://climatebase.org/job/46614257/director--senior-manager-gsm-direct-materials?source=jobs_directory,"Director / Senior Manager, GSM Direct Materials","Berkeley, Ca, Pittsburgh...","7-10 years of experience in Purchasing, Supply Chain, and/or Contract Management, with at least 3 years in a management rolePrior leadership and management experience is required, demonstrating a clear record of success in building industry-leading teams that can execute in a fast-paced, dynamic environment.Understanding of contract fundamentals; demonstrated skills in supplier operational and relationship management.Ability to travel domestically and internationally approx. 30% of the time.Bachelor or Masters in Engineering, Supply Chain, Finance, Industrial Engineering or a similar discipline. Experience with direct material sourcing in a manufacturing environment and ability to generate bottom-up should costs based on the understanding of the manufacturing process. Excellent communication and organizational skills",Form Energy
https://climatebase.org/job/46614299/rd-cell-build-technician-subscale?source=jobs_directory,"R&D Cell Build Technician, Subscale","Somerville, MA","Proven ability with work that requires attention to detail, such as assembly or similar technical tasksFamiliarity with concepts to organize and maintain inventory and work stationsAbility to stay focused and safe in a fast paced environmentWritten and oral communication skills within a group of peers and broader organizationComfort using digital tools and organizational software. We use Asana, Google Apps, and a virtual lab notebook. ",Form Energy
https://climatebase.org/job/46597341/associate?source=jobs_directory,Associate,Remote (Vietnam),"A graduate degree or equivalent experience in an applicable field such as engineering (mechanical, electrical, civil, energy), business (marketing, finance, international), policy, economics, computer science, mathematics, architecture, physical and social sciences, OR undergraduate degree and an additional 2-3 years of cumulative work experience related to energy and excellent work references. Ability to design, create, and run Excel-based models.Existing relationships with relevant energy sector stakeholders in VietnamEffective communication and exceptional writing capabilities.A high degree of professionalism, thoughtfulness, and respect across interpersonal interactions.Demonstrated initiative and accomplishment in previous work and demonstrated ability to work in varied cultural environments.Fluent in English and Vietnamese",RMI
https://climatebase.org/job/46560611/vp-people-and-culture?source=jobs_directory,"VP, People and Culture","Alameda, CA","Seasoned, empathetic leader with 12+ years of experience across a variety of HR/People functions5+ years of experience managing teamsMust have international HR experienceDeep knowledge across HR including recruiting, compensation planning, organizational design, management and leadership development & DEIBTrack record of building successful HR functions with a bias for data and actionExperience scaling HR functions at various stages of scale and maturityProven experience in developing and implementing global strategies that engage, promote, and support a more inclusive and equitable workplace on a holistic levelStrong conflict resolution capabilities, critical thinking skills, and emotional intelligenceUnderstanding of how to lead organizational change, empower and influence people at all levels of the organizationStrong executive presence and ability to partner and influence at executive levelExperience leading HR at a Startup and/or Scaleup","Rondo Energy, Inc"
https://climatebase.org/job/46614300/rd-equipment-technician-anode?source=jobs_directory,"R&D Equipment Technician, Anode","Somerville, MA",Proficiency in mechanical and electro-mechanical maintenanceExperience designing and making tools and fixtures for process improvementCommitment to safety and cleanliness in the workspaceExcellent written communication and documentation skillsA proactive attitude towards improving processes and procedures,Form Energy
https://climatebase.org/job/46597855/marketing-specialist?source=jobs_directory,Marketing Specialist,Remote,2+ years experience in marketingPrior experience or education in marketingInterest in tackling the challenges of climate changeAn eye for aesthetics and designCuriosity and an eagerness to learn & growDriven by a desire for positive impact in the world,Gradient
https://climatebase.org/job/46605189/sustainability-analyst?source=jobs_directory,Sustainability Analyst,London,"An affinity for numbers and are very comfortable in using Excel to an advanced level Excellent analytical skills and love turning complex calculations into simple and valuable insights An unwavering, deep-rooted passion for sustainability and tackling climate change Excellent collaboration skills and ability to operate effectively whilst keeping others informed about your work An entrepreneurial mindset, sense of responsibility and willingness to take initiative ",ClimatePartner 
https://climatebase.org/job/46605466/hr-associate?source=jobs_directory,HR Associate,Remote,"Leading the HR strategy, serving as the primary point of contact for employees and the Board for all employee relations issues across the world (Europe, North and Latin America, Asia and Africa) Managing and supporting all HR functions across the company including, contracts, sickness, payroll, benefits, organisational growth, talent development, annual compensation reviews (incl. transfers, promotions etc.), improvement activities, personal development planning and succession planning Designing and implementing the onboarding process for new hires Designing and implementing our performance management cycle Managing and improving recruitment activities for global vacancies, including drafting job descriptions and posting vacancies to relevant channels, standardising company interview processes, scheduling and participating in interviews, advising on offers and contracting, conducting background and right to work checks where necessary. Regularly review of processes and policies Managing the relationship with our global employment outsourcing companies Building and strengthening inclusive leadership and culture within the company",Revalue Nature Ltd
https://climatebase.org/job/46605465/partnerships-manager?source=jobs_directory,Partnerships Manager,"Remote (New York City, NY, USA)","2-4 years of experience with enterprise-level partnerships generation and management, business development, project management, stakeholder engagement, or other comparable knowledge preferred. Experience with biomaterials or other science-forward climate solutions/products a plus. Experience working with CPGs or plastics a plus.",Genecis Bioindustries
https://climatebase.org/job/46598841/product-manager---compliance-and-reporting?source=jobs_directory,Product Manager - Compliance and Reporting,Remote,"Proven experiences managing the production deployment and monetization of sustainability compliance and reporting tools Ability to partner with various stakeholders, especially with data scientists and software engineers to work on project scope and define clear objectives and implementation plansExperience in scope 3 emissions reporting, ideally for land based products3+ years of experience successfully working with products teams and coordinating distributed teams from architecture through release, maintenance, and support.Professional and working knowledge in related fields such as ESG, Sustainability, Finance, Economics and Public PolicyKnowledge of agile methodologies and toolsGeneral knowledge of agriculture, carbon markets, and ecosystem services.Prior experience working in a fast paced and dynamic start up environment. ",Regrow Ag
https://climatebase.org/job/46604040/senior-counsel--assistant-general-counsel?source=jobs_directory,Senior Counsel / Assistant General Counsel,Remote (United States),"JD from an accredited law school and admitted to practice law in good standing, preferably in California 6+ years of practicing law, including experience at a law firm and at least two years of in-house experience 3+ years of related work experience, ideally including in the clean energy industry High-caliber, solution-oriented lawyer who is business-minded and pragmatic Strategic and results-driven, proactive and resourceful Self-starter who is at home in a fast-paced, high-growth and informal environment where demands and priorities can change rapidly Exceptional judgment, appropriately balancing risk with corporate objectives Excellent oral and written communication skills Strong organizational and problem-solving skills, including ability to manage high volume of workstreams Comfortable working both in teams and independently, and being hands-on Superior interpersonal skills, including proven ability to build strong relationships and gain trust across an organization Intellectual curiosity and a willingness to take on new challenges to achieve business objectives Growth mindset and a sense of humor",OhmConnect
https://climatebase.org/job/46605184/commercial-sustainability-manager-sales?source=jobs_directory,Commercial Sustainability Manager (Sales),London,"A minimum of 4 years of experience in sales/commercial roles. We do welcome those with significantly more experience. Ultimately, we are looking for the right behaviours and skills, not only a certain number of years Proven track record of success in meeting and exceeding sales targets Excellent communication, presentation, and negotiation skills Evidence of advanced commercial acumen, a collaborative mindset, and a curiosity to learn technical topics An unwavering, deep-rooted passion for sustainability and tackling climate change Experience in data management using a CRM platform Proficiency in Microsoft office, in particular powerpoint skills Excellent time management skills ",ClimatePartner 
https://climatebase.org/job/46598081/senior-software-engineer?source=jobs_directory,Senior Software Engineer,Remote (United States),,Pivot Bio
https://climatebase.org/job/46605468/senior-software-engineer--platform?source=jobs_directory,Senior Software Engineer | Platform,"San Francisco, CA, USA",,Zitara
https://climatebase.org/job/46605469/product-manager?source=jobs_directory,Product Manager,Remote,"Experience as a PM at a fast-paced company focused on marketplaces, SaaS, or fintech, (and previous experience with data integrations will be extra helpful) Familiarity with building, supporting, and managing complex, scalable software services A track record of distilling complex and ambiguous problems into actionable plans  Ability to gather, research, and analyze data from multiple sources (market data, customer services, sales) and subsequently define business requirements and MVPs Cross-functional knowledge and ability to participate in technical discussions with engineers as well as discuss complex financial marketplace products with non-technical customers  Excellent communication, facilitation, and presentation skills to identify needs, explain features, articulate decisions, and gain alignment to drive projects forward Active listening skills and a level of curiosity to elicit and understand customer business challenges A collaborative approach and an ability to build strong cross-functional partnerships Intellectual curiosity, self awareness, and ability to learn quickly and adapt Sustainable finance knowledge is a plus Interest in developing a deep understanding of US energy infrastructure and building decarbonization to help advance WattCarbon solutions",WattCarbon
https://climatebase.org/job/46363654/senior-software-engineer-remote?source=jobs_directory,Senior Software Engineer (Remote),Remote (United States),"You can contribute on the front-end, back-end, or both ",NextEra Mobility 
https://climatebase.org/job/46124724/principal-software-engineer-remote?source=jobs_directory,Principal Software Engineer (Remote),Remote (United States),,NextEra Mobility 
https://climatebase.org/job/46605821/manager-of-customer-success?source=jobs_directory,Manager of Customer Success,"San Carlos, California, United States",,Electric Hydrogen
https://climatebase.org/job/46605560/data-analyst--data-steward-80-100?source=jobs_directory,Data Analyst / Data Steward (80-100%),"Zurich, Zürich, Switzerland","You have a bachelor or master’s in Engineering, Computer Science or related fields.You have a proven experience in Requirements Engineering, particularly related to Data & Dashboarding projects.You are a good communicator and are well versed in stakeholder management.You have a strong knowledge and experience of SQL and Dashboarding Tools (PowerBI, Grafana).You can design ETLs requirements and understand data sources & their systems.You have an interest in Business Analytics.Ideally you bring experience in Python, as well as ETL / ELT pipelines.Ideally you have experience using Azure (alternatively AWS or GCP).You are self-driven, proactive, persistent, and enjoy doing hands-on work, including Dashboards, ad-hoc Data Analyses.You are a team player and thrive in an environment that is fast-growing and not yet fully defined and established.You are fluent in English; any German knowledge is a plus.",Climeworks
https://climatebase.org/job/46162677/strategic-account-executive-emea?source=jobs_directory,"Strategic account executive, EMEA",London,"You will have relevant sales experience, in a SaaS organization.A track record of sales excellence, especially with strategic customers (10,000+ employees) at an executive level. Have experience prospecting new business in a new territory.Are excited to lead from zero to one. You love to build things from scratch—new playbooks for navigating organizations and ways to tell the Watershed story.Are an excellent consultative seller. You listen deeply to customers and excel by helping them solve their problems.Love going deep on new domains. You’ve sold products in complex or technical fields, and relish becoming an expert on your subject matter. You’re voraciously curious. You’re excited to learn everything about climate and help companies navigate this space.Are an exceptional communicator.Have a track record of doing whatever it takes to get things done. You’ve accomplished things that others thought were impossible. You’re relentlessly resourceful.Want to join a startup, take responsibility for the fate of the company, and move fast.",Watershed
https://climatebase.org/job/46605811/deployment-manager-?source=jobs_directory,Deployment Manager,"San Carlos, California, United States","8+ years of project management experience and 5+ years of construction field experience in field engineering, quality control and/or project managementBachelor's degree in Engineering or similar fieldProven success working with all levels of managementExperience overseeing large construction projectsExperience managing the installation of heavy industrial equipmentExperience with contract negotiationExperience with conflict resolutionExperience managing budgetsExperience working across multiple code jurisdictionsAble to travel 25-50% timeProficiency in Microsoft Project, Oracle Primavera and other project management software toolsStrong working knowledge of desktop applications (e.g., Microsoft Office)Familiarity with NFPA 2, ASME B31.3, ASME BPVC, and NEC",Electric Hydrogen
https://climatebase.org/job/46605810/control-systems-technician?source=jobs_directory,Control Systems Technician,"Devens, MA","4-6 years of relevant experienceFamiliarity with the basic concepts of PLCs, HMIs, SCADA systems, and networkingKnowledge of health and safety standards and Industry Codes (OSHA, NFPA, NIST)Knowledge of proper wiring and cabling standards and techniques (Clean termination, ferruling, grounding & bonding, strain relief, etc.)Experience working with and installing components such as laser sensors, proximity sensors, gas flow and pressure sensors, vision systems, motors, pumps, and VFDs",Electric Hydrogen
https://climatebase.org/job/46608392/empfangs---servicemitarbeiter-mfd?source=jobs_directory,Empfangs- & Servicemitarbeiter (m/f/d),Munich,,ClimatePartner 
https://climatebase.org/job/46608656/talent-partner---commercial?source=jobs_directory,Talent Partner - Commercial,Remote (United States),"Proven experience recruiting a range of commercial roles (sales, marketing, etc), either from in-house, RPO or agencyStrong track record when it comes to delivery, both in terms of volume and quality of hireA creative approach to sourcing - we’ll discuss this during interviews!Comfort working in fast-paced and dynamic environmentsThe ability to quickly establish strong relationships and build trust internally and externallyDrive and determination - you’ll be able to quickly identify problems and present solutions, think on your feet, and push to make things happenIdeally, a data-driven approach to recruitment - you’ll utilise data to identify areas for improvementAppreciation for the mission; you’ll care about the overall aim of reducing carbon emissions globally and want to be part of this",ev.energy
https://climatebase.org/job/46607364/sr-systems-engineer?source=jobs_directory,Sr. Systems Engineer,"Remote (Charlotte, NC, US)",,DEP
https://climatebase.org/job/46607363/systems-engineer-?source=jobs_directory,Systems Engineer,"Remote (Charlotte, NC, US)",,DEP
https://climatebase.org/job/46608675/mobility-senior-engineering-project-manager-?source=jobs_directory,Mobility Senior Engineering Project Manager,"Juno Beach, FL, USA",,NextEra Mobility 
https://climatebase.org/job/46608677/data-engineer-?source=jobs_directory,Data Engineer,Remote (Indonesia),"Create and maintain data pipeline architecture to support efficient data processing and analysis. Design and implement automatic data extraction and transformation from various public data portals. Develop and optimize algorithms for data retrieval, summarization, and analysis to meet performance requirements. Design and implement data storing architecture to support optimal data delivery. Design and implement fast and efficient algorithms on data retrieval and summarization. Design and implement queuing systems based on available resources to manage and prioritize tasks effectively. Develop and maintain documentation of code, methods, and results for transparency and reproducibility. Monitor and troubleshoot data pipeline issues and implement necessary optimizations and enhancements. Collaborate with data scientists, analysts, engineers, and other stakeholders to understand data needs and provide appropriate solutions. Participate in project planning, execution, and reporting, including the preparation of technical reports, and presentations. Ensure the scalability, reliability, and security of data infrastructure and processes. Provide training and support to other team members on data management best practices and stay up to date with industry trends and emerging technologies in data engineering to continuously improve our data infrastructure and processes.",Revalue Nature Ltd
https://climatebase.org/job/46608676/machine-learning-specialist?source=jobs_directory,Machine Learning Specialist,Remote (Indonesia),"Developing and implementing advanced machine learning algorithms: Design and implement machine learning algorithms and models (supervised and unsupervised) specifically tailored for remote sensing applications, such as land cover change detection and classification. This involves working with various data sources, including radar, optical sensors, high-resolution imagery, and ground truth observations. Algorithm selection: Evaluate and select the most suitable machine learning algorithms for each specific remote sensing application, considering factors such as efficiency, accuracy, and computational requirements. Applying deep learning techniques: Apply deep learning techniques to analyse remote sensing imagery and extract meaningful information. This includes exploring and utilizing deep learning models and architectures relevant to feature extraction, training and fine-tuning, and evaluation and optimization. Collaboration and teamwork: Collaborate with other team members and stakeholders to identify research questions, design research studies, and implement solutions. Effective communication and teamwork skills are essential for successful collaboration. Documentation and transparency: Maintain documentation of code, methods, and results to ensure transparency and reproducibility of research and analysis. This includes documenting the rationale behind algorithm choices, parameter settings, and data pre-processing steps. Keeping up to date with advancements: Stay up-to-date with the latest developments in remote sensing techniques and machine learning, particularly as they relate to land cover change. This involves staying informed about new algorithms, tools, and research publications in the field. Project planning and reporting: Participate in project planning, execution, and reporting. This includes preparing technical reports, and presentations to communicate research findings and project progress. Training and support: Provide training and support to other team members on data collocation, curation, sampling and machine learning. This may involve mentoring junior team members or conducting workshops and training sessions.",Revalue Nature Ltd
https://climatebase.org/job/46595814/business-operations-manager?source=jobs_directory,Business Operations Manager,"San Francisco, CA, USA","5+ years of fast-paced business operations experience, ideally in a startup environment Deep passion to combat climate change Start-up spirit: ambition and hustle Excellent team player Attention to detail Strong communication skills Interest in building a strong culture at an early-stage startup",Verne
https://climatebase.org/job/46608681/business-controller?source=jobs_directory,Business Controller,Remote,"Prepare baseline financial budgets, models, and assist with monthly and quarterly financial reporting and planning to senior management and investors Develop, maintain, and analyze various reports and key performance metrics to help drive strategic growth decisions and create operational efficiencies Assist with cash management and working capital processes and procedures; help manage global banking relationships Help evaluate and implement new internal accounting system; assist with accounting processes and annual financial audits Collaborate with Business Development and Implementation teams to support revenue forecasting and pipeline analyses",CHOOOSE
https://climatebase.org/job/45846391/german-translator-volunteer?source=jobs_directory,German Translator (Volunteer),Remote,3+ years fluency in German. Native spreakers preferred. Current with the latest German-language idioms and cultural references to allow for great translations. Excellent attention to detail.,Earth Hero
https://climatebase.org/job/46394978/russian-translator-volunteer?source=jobs_directory,Russian Translator (Volunteer),Remote,3+ years fluency in Russian. Native spreakers preferred. Current with the latest Russian-language idioms and cultural references to allow for great translations. Excellent attention to detail.,Earth Hero
https://climatebase.org/job/46394976/italian-translator-volunteer?source=jobs_directory,Italian Translator (Volunteer),Remote,3+ years fluency in Italian. Native spreakers preferred. Current with the latest Italian-language idioms and cultural references to allow for great translations. Excellent attention to detail.,Earth Hero
https://climatebase.org/job/46394980/indonesian-translator-volunteer?source=jobs_directory,Indonesian Translator (Volunteer),Remote,3+ years fluency in Indonesian. Native spreakers preferred. Current with the latest Indonesian-language idioms and cultural references to allow for great translations. Excellent attention to detail.,Earth Hero
https://climatebase.org/job/46608686/director-hse-and-process-development?source=jobs_directory,"Director, HSE and Process Development",Remote (San Francisco Bay Area),,SB Energy DevCo (US) Inc.
https://climatebase.org/job/46394973/chinese-mandarin-translator-volunteer?source=jobs_directory,Chinese (Mandarin) Translator (Volunteer),Remote,3+ years fluency in Chinese (Mandarin). Native spreakers preferred. Current with the latest Chinese-language idioms and cultural references to allow for great translations. Excellent attention to detail.,Earth Hero
https://climatebase.org/job/46608698/full-stack-engineer?source=jobs_directory,Full Stack Engineer,"San Francisco, CA","Design and implement a full mobile / web interface that helps consumers dramatically reduce their carbon footprintImplement and maintaining the UI / visual design for a consumer-facing brand that will cross mobile apps, the company’s website, and social media accountsContribute to the architecture of the company’s software stack, including the various front ends but also integration with the backend, various API endpoints, etc.Help define the company's engineering culture as one of our first engineering hires",Onsemble
https://climatebase.org/job/46608695/product-designer-responsive-uiux?source=jobs_directory,Product Designer (Responsive UI/UX),"Remote (Los Angeles, CA, USA)","3+ years of UI design experience in a professional capacity Portfolio of successfully delivered high-fidelity responsive product user interfaces Proficiency with Figma, including the maintenance of component systems and interactive prototyping Passion and attention to detail and design polish Keen eye for type hierarchy, color (specifically as it pertains to web design and accessibility), grid systems and layouts, scale, and balance. High level of organizational skills, ability to stay focused on deadlines and handle complexity. Experience designing map-based applications or games is a plus",Spherical
https://climatebase.org/job/46394974/hindi-translator-volunteer?source=jobs_directory,Hindi Translator (Volunteer),Remote,3+ years fluency in Hindi. Native spreakers preferred. Current with the latest Hindi-language idioms and cultural references to allow for great translations. Excellent attention to detail.,Earth Hero
